run_id,seed,difficulty,player_class,outcome,is_victory,floors_reached,rooms_visited,rooms_cleared,enemies_killed,damage_dealt,damage_taken,damage_efficiency,gold_earned,gold_spent,items_collected,combats,avg_combat_turns,critical_hit_rate
run_1769947363739,1769947363739,NORMAL,WARRIOR,PLAYER_DEATH,False,7,34,23,39,1083,181,5.983425414364641,1189,0,23,22,5.318181818181818,0.05128205128205128
run_1769947387265,1769947387265,NORMAL,WARRIOR,PLAYER_DEATH,False,7,31,22,40,1123,193,5.818652849740933,1194,0,18,23,5.260869565217392,0.049586776859504134
run_1769947396553,1769947396553,NORMAL,WARRIOR,PLAYER_DEATH,False,7,28,23,38,1054,196,5.377551020408164,1169,0,26,20,5.55,0.06306306306306306
run_1769947405053,1769947405053,NORMAL,WARRIOR,PLAYER_DEATH,False,7,33,23,34,950,190,5.0,1119,0,20,20,4.9,0.05102040816326531
run_1769947416614,1769947416614,NORMAL,WARRIOR,PLAYER_DEATH,False,6,31,24,45,1306,194,6.731958762886598,941,0,16,23,5.739130434782608,0.015151515151515152
run_1769947426166,1769947426166,NORMAL,WARRIOR,PLAYER_DEATH,False,8,38,29,57,2017,328,6.149390243902439,1573,0,32,30,7.633333333333334,0.07860262008733625
run_1769947437128,1769947437128,NORMAL,WARRIOR,PLAYER_DEATH,False,8,36,27,51,1780,339,5.2507374631268435,1462,0,30,26,7.8076923076923075,0.054187192118226604
run_1769947447767,1769947447767,NORMAL,WARRIOR,PLAYER_DEATH,False,8,36,27,50,1802,319,5.648902821316614,1463,0,31,26,7.8076923076923075,0.06403940886699508
run_1769947458302,1769947458302,NORMAL,WARRIOR,,False,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
