run_id,seed,difficulty,player_class,outcome,is_victory,floors_reached,rooms_visited,rooms_cleared,enemies_killed,damage_dealt,damage_taken,damage_efficiency,gold_earned,gold_spent,items_collected,combats,avg_combat_turns,critical_hit_rate
run_1769947190812,1769947190812,NORMAL,WARRIOR,PLAYER_DEATH,False,5,26,21,37,1029,216,4.763888888888889,763,0,8,21,5.476190476190476,0.06956521739130435
run_1769947199927,1769947199927,NORMAL,WARRIOR,PLAYER_DEATH,False,6,28,23,39,1002,230,4.356521739130435,758,0,15,21,5.666666666666667,0.04201680672268908
run_1769947210704,1769947210704,NORMAL,WARRIOR,PLAYER_DEATH,False,6,31,21,35,1032,223,4.62780269058296,735,0,19,20,6.15,0.056910569105691054
run_1769947219836,1769947219836,NORMAL,WARRIOR,PLAYER_DEATH,False,6,27,22,45,1096,212,5.169811320754717,824,0,13,22,5.7727272727272725,0.06299212598425197
run_1769947231325,1769947231325,NORMAL,WARRIOR,PLAYER_DEATH,False,5,25,23,40,1022,220,4.6454545454545455,778,0,14,21,5.333333333333333,0.07142857142857142
run_1769947240930,1769947240930,NORMAL,WARRIOR,PLAYER_DEATH,False,5,21,19,38,866,214,4.046728971962617,690,0,10,18,5.444444444444445,0.04081632653061224
run_1769947250486,1769947250486,NORMAL,WARRIOR,PLAYER_DEATH,False,5,24,21,32,825,218,3.7844036697247705,660,0,20,19,5.0,0.031578947368421054
