run_id,seed,difficulty,player_class,outcome,is_victory,floors_reached,rooms_visited,rooms_cleared,enemies_killed,damage_dealt,damage_taken,damage_efficiency,gold_earned,gold_spent,items_collected,combats,avg_combat_turns,critical_hit_rate
run_1769947937682,1769947937682,NORMAL,WARRIOR,VICTORY,True,3,17,13,19,403,89,4.52808988764045,448,0,12,11,4.2727272727272725,0.1276595744680851
run_1769947944800,1769947944800,NORMAL,WARRIOR,VICTORY,True,3,18,14,22,420,101,4.158415841584159,466,0,10,11,4.545454545454546,0.04
run_1769947950189,1769947950189,NORMAL,WARRIOR,VICTORY,True,3,13,10,16,373,105,3.552380952380952,427,0,10,9,5.111111111111111,0.043478260869565216
run_1769947953765,1769947953765,NORMAL,WARRIOR,VICTORY,True,3,16,11,16,338,81,4.172839506172839,412,0,11,10,4.3,0.023255813953488372
run_1769947958157,1769947958157,NORMAL,WARRIOR,VICTORY,True,3,16,13,22,467,121,3.8595041322314048,481,0,11,11,5.181818181818182,0.07017543859649122
run_1769947962371,1769947962371,NORMAL,WARRIOR,VICTORY,True,3,14,12,21,465,105,4.428571428571429,476,0,7,12,4.666666666666667,0.05357142857142857
run_1769947967113,1769947967113,NORMAL,WARRIOR,VICTORY,True,3,18,14,29,573,124,4.620967741935484,543,0,9,12,5.5,0.07575757575757576
run_1769947972197,1769947972197,NORMAL,WARRIOR,VICTORY,True,3,14,11,18,398,100,3.98,443,0,7,11,4.363636363636363,0.041666666666666664
run_1769947976676,1769947976676,NORMAL,WARRIOR,VICTORY,True,3,15,10,19,378,88,4.295454545454546,445,0,7,10,4.6,0.043478260869565216
run_1769947980836,1769947980836,NORMAL,WARRIOR,VICTORY,True,3,14,12,24,480,95,5.052631578947368,497,0,8,11,5.181818181818182,0.05263157894736842
run_1769947984707,1769947984707,NORMAL,WARRIOR,VICTORY,True,3,14,11,19,364,88,4.136363636363637,436,0,16,9,5.0,0.022222222222222223
run_1769947988488,1769947988488,NORMAL,WARRIOR,,False,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
