run_id,seed,difficulty,player_class,outcome,is_victory,floors_reached,rooms_visited,rooms_cleared,enemies_killed,damage_dealt,damage_taken,damage_efficiency,gold_earned,gold_spent,items_collected,combats,avg_combat_turns,critical_hit_rate
run_1769804366983,1769804366983,NORMAL,WARRIOR,VICTORY,True,2,6,5,6,70,5,14.0,57,0,5,5,2.0,0.0
run_1769860079031,1769860079031,NORMAL,WARRIOR,VICTORY,True,2,7,6,8,101,7,14.428571428571429,76,0,4,6,2.0,0.08333333333333333
run_1769860080528,1769860080528,NORMAL,WARRIOR,VICTORY,True,2,8,6,6,87,5,17.4,60,0,5,5,2.0,0.0
run_1769860084591,1769860084591,NORMAL,WARRIOR,VICTORY,True,2,6,6,7,84,7,12.0,68,0,3,5,2.2,0.0
run_1769861001569,1769861001569,NORMAL,WARRIOR,PLAYER_DEATH,False,3,13,7,14,244,150,1.6266666666666667,145,0,21,8,4.5,0.05555555555555555
run_1769861024147,1769861024147,NORMAL,WARRIOR,PLAYER_DEATH,False,3,16,10,20,359,159,2.257861635220126,199,0,9,11,4.636363636363637,0.0392156862745098
run_1769861050730,1769861050714,NORMAL,WARRIOR,VICTORY,True,2,8,6,7,103,10,10.3,65,0,3,5,2.6,0.07692307692307693
run_1769861094277,1769861094277,NORMAL,WARRIOR,PLAYER_DEATH,False,3,14,13,23,357,161,2.217391304347826,223,0,5,13,4.076923076923077,0.05660377358490566
run_1769861103453,1769861103453,NORMAL,WARRIOR,PLAYER_DEATH,False,3,15,11,16,289,152,1.9013157894736843,176,0,13,9,4.777777777777778,0.046511627906976744
