run_id,seed,difficulty,player_class,outcome,is_victory,floors_reached,rooms_visited,rooms_cleared,enemies_killed,damage_dealt,damage_taken,damage_efficiency,gold_earned,gold_spent,items_collected,combats,avg_combat_turns,critical_hit_rate
run_1769948214708,1769948214708,NORMAL,WARRIOR,PLAYER_DEATH,False,3,13,11,21,390,131,2.9770992366412212,216,0,3,12,3.75,0.06666666666666667
run_1769948220210,1769948220210,NORMAL,WARRIOR,,False,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
run_1769948220322,1769948220322,NORMAL,WARRIOR,PLAYER_DEATH,False,3,15,12,18,355,128,2.7734375,189,0,11,11,3.8181818181818183,0.023809523809523808
run_1769948225206,1769948225206,NORMAL,WARRIOR,VICTORY,True,3,15,11,18,356,129,2.75968992248062,431,0,10,10,4.3,0.023255813953488372
run_1769948230206,1769948230206,NORMAL,WARRIOR,PLAYER_DEATH,False,3,12,9,18,346,132,2.621212121212121,192,0,11,10,4.2,0.0
run_1769948234770,1769948234770,NORMAL,WARRIOR,PLAYER_DEATH,False,3,14,12,26,436,138,3.1594202898550723,271,0,12,12,4.333333333333333,0.09615384615384616
run_1769948239234,1769948239234,NORMAL,WARRIOR,PLAYER_DEATH,False,3,12,10,13,259,127,2.0393700787401574,128,0,5,9,3.3333333333333335,0.06666666666666667
run_1769948243269,1769948243269,NORMAL,WARRIOR,PLAYER_DEATH,False,3,15,9,16,349,132,2.643939393939394,164,0,15,9,4.666666666666667,0.0
run_1769948250125,1769948250125,NORMAL,WARRIOR,PLAYER_DEATH,False,3,11,9,17,292,126,2.3174603174603177,175,0,5,9,3.7777777777777777,0.0
run_1769948254071,1769948254071,NORMAL,WARRIOR,PLAYER_DEATH,False,3,13,10,21,383,143,2.6783216783216783,219,0,2,10,4.7,0.06382978723404255
run_1769948258519,1769948258519,NORMAL,WARRIOR,PLAYER_DEATH,False,3,15,10,14,289,123,2.3495934959349594,148,0,12,9,3.7777777777777777,0.058823529411764705
run_1769948262722,1769948262722,NORMAL,WARRIOR,VICTORY,True,3,14,13,17,359,117,3.0683760683760686,420,0,8,11,3.8181818181818183,0.047619047619047616
run_1769948268922,1769948268922,NORMAL,WARRIOR,PLAYER_DEATH,False,3,12,8,14,257,129,1.9922480620155039,148,0,6,8,3.75,0.1
run_1769948272798,1769948272798,NORMAL,WARRIOR,PLAYER_DEATH,False,3,12,9,12,276,130,2.123076923076923,126,0,11,8,4.0,0.0
run_1769948276488,1769948276488,NORMAL,WARRIOR,PLAYER_DEATH,False,3,12,7,12,247,127,1.9448818897637796,123,0,3,8,3.875,0.0
run_1769948280172,1769948280172,NORMAL,WARRIOR,PLAYER_DEATH,False,3,13,11,22,386,140,2.757142857142857,227,0,2,12,3.8333333333333335,0.06521739130434782
run_1769948284527,1769948284527,NORMAL,WARRIOR,PLAYER_DEATH,False,3,17,12,27,465,133,3.4962406015037595,282,0,11,13,4.153846153846154,0.037037037037037035
run_1769948289803,1769948289803,NORMAL,WARRIOR,PLAYER_DEATH,False,3,16,9,16,298,130,2.292307692307692,167,0,16,8,4.5,0.027777777777777776
run_1769948294167,1769948294167,NORMAL,WARRIOR,PLAYER_DEATH,False,3,15,11,21,400,142,2.816901408450704,219,0,7,11,4.545454545454546,0.04
run_1769948298897,1769948298897,NORMAL,WARRIOR,VICTORY,True,3,17,12,20,356,100,3.56,432,0,19,10,4.1,0.07317073170731707
run_1769948304143,1769948304143,NORMAL,WARRIOR,PLAYER_DEATH,False,3,16,12,23,398,129,3.0852713178294575,244,0,7,13,3.6923076923076925,0.020833333333333332
run_1769948309039,1769948309039,NORMAL,WARRIOR,PLAYER_DEATH,False,3,17,13,17,330,125,2.64,196,0,10,11,3.4545454545454546,0.05263157894736842
