run_id,seed,difficulty,player_class,outcome,is_victory,floors_reached,rooms_visited,rooms_cleared,enemies_killed,damage_dealt,damage_taken,damage_efficiency,gold_earned,gold_spent,items_collected,combats,avg_combat_turns,critical_hit_rate
run_1769948575766,1769948575766,NORMAL,WARRIOR,PLAYER_DEATH,False,3,12,9,13,258,130,1.9846153846153847,137,0,5,8,3.875,0.06451612903225806
run_1769948581151,1769948581151,NORMAL,WARRIOR,PLAYER_DEATH,False,3,11,10,19,366,133,2.7518796992481205,197,0,3,11,4.0,0.022727272727272728
run_1769948585133,1769948585133,NORMAL,WARRIOR,VICTORY,True,3,16,15,13,267,87,3.0689655172413794,367,0,11,11,3.0,0.06060606060606061
run_1769948589490,1769948589490,NORMAL,WARRIOR,VICTORY,True,3,15,11,17,318,73,4.3561643835616435,408,0,10,10,3.8,0.0
run_1769948593515,1769948593515,NORMAL,WARRIOR,,False,0,0,0,0,0,0,0.0,0,0,0,8,4.625,0.05405405405405406
run_1769948596456,1769948596456,NORMAL,WARRIOR,PLAYER_DEATH,False,3,12,10,18,326,132,2.4696969696969697,171,0,5,10,3.9,0.07692307692307693
run_1769948600340,1769948600340,NORMAL,WARRIOR,VICTORY,True,3,14,10,15,284,92,3.0869565217391304,392,0,11,7,4.571428571428571,0.09375
run_1769948603852,1769948603852,NORMAL,WARRIOR,VICTORY,True,3,14,11,22,372,74,5.027027027027027,460,0,4,11,4.090909090909091,0.06666666666666667
run_1769948608281,1769948608281,NORMAL,WARRIOR,PLAYER_DEATH,False,3,15,12,17,360,128,2.8125,184,0,11,11,3.6363636363636362,0.075
run_1769948612835,1769948612835,NORMAL,WARRIOR,PLAYER_DEATH,False,3,14,8,19,378,130,2.9076923076923076,215,0,13,9,4.444444444444445,0.1
run_1769948616812,1769948616812,NORMAL,WARRIOR,VICTORY,True,3,15,8,13,258,61,4.229508196721311,367,0,14,8,3.875,0.06451612903225806
run_1769948620929,1769948620929,NORMAL,WARRIOR,PLAYER_DEATH,False,3,10,8,14,300,129,2.3255813953488373,148,0,3,9,3.7777777777777777,0.08823529411764706
run_1769948624589,1769948624589,NORMAL,WARRIOR,PLAYER_DEATH,False,3,12,9,19,345,141,2.4468085106382977,191,0,5,10,4.6,0.10869565217391304
run_1769948628614,1769948628614,NORMAL,WARRIOR,PLAYER_DEATH,False,3,14,11,21,369,131,2.816793893129771,219,0,5,11,4.0,0.09090909090909091
run_1769948633003,1769948633003,NORMAL,WARRIOR,VICTORY,True,3,13,8,13,261,64,4.078125,379,0,13,8,3.75,0.06666666666666667
run_1769948636387,1769948636387,NORMAL,WARRIOR,PLAYER_DEATH,False,3,15,9,16,306,124,2.467741935483871,176,0,5,10,3.4,0.058823529411764705
run_1769948641795,1769948641795,NORMAL,WARRIOR,,False,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
