run_id,seed,difficulty,player_class,outcome,is_victory,floors_reached,rooms_visited,rooms_cleared,enemies_killed,damage_dealt,damage_taken,damage_efficiency,gold_earned,gold_spent,items_collected,combats,avg_combat_turns,critical_hit_rate
run_1769947779603,1769947779603,NORMAL,WARRIOR,VICTORY,True,3,17,13,21,339,31,10.935483870967742,464,0,11,11,3.272727272727273,0.05555555555555555
run_1769947786936,1769947786936,NORMAL,WARRIOR,VICTORY,True,3,15,14,27,461,59,7.813559322033898,533,0,10,11,4.454545454545454,0.08163265306122448
run_1769947791562,1769947791562,NORMAL,WARRIOR,VICTORY,True,3,13,12,14,277,24,11.541666666666666,393,0,7,10,3.1,0.06451612903225806
run_1769947795845,1769947795845,NORMAL,WARRIOR,VICTORY,True,3,16,12,21,329,34,9.676470588235293,458,0,11,11,3.272727272727273,0.05555555555555555
run_1769947801240,1769947801240,NORMAL,WARRIOR,VICTORY,True,3,15,11,19,307,27,11.37037037037037,433,0,13,10,3.3,0.06060606060606061
run_1769947806561,1769947806561,NORMAL,WARRIOR,VICTORY,True,3,14,12,25,399,43,9.279069767441861,511,0,6,12,3.5,0.07142857142857142
run_1769947811031,1769947811031,NORMAL,WARRIOR,VICTORY,True,3,13,13,17,319,36,8.86111111111111,438,0,14,10,3.4,0.058823529411764705
run_1769947814945,1769947814945,NORMAL,WARRIOR,VICTORY,True,3,16,14,28,441,50,8.82,538,0,8,12,3.8333333333333335,0.10869565217391304
run_1769947820282,1769947820282,NORMAL,WARRIOR,VICTORY,True,3,16,11,20,317,33,9.606060606060606,435,0,2,11,3.1818181818181817,0.08571428571428572
run_1769947825493,1769947825493,NORMAL,WARRIOR,VICTORY,True,3,14,11,17,291,30,9.7,426,0,15,10,3.3,0.030303030303030304
run_1769947830181,1769947830181,NORMAL,WARRIOR,VICTORY,True,3,13,11,23,405,51,7.9411764705882355,495,0,3,10,4.4,0.022727272727272728
run_1769947836789,1769947836789,NORMAL,WARRIOR,VICTORY,True,3,14,12,13,251,20,12.55,385,0,20,9,2.888888888888889,0.038461538461538464
run_1769947841392,1769947841392,NORMAL,WARRIOR,VICTORY,True,3,16,13,23,401,48,8.354166666666666,495,0,7,12,3.75,0.044444444444444446
run_1769947846373,1769947846373,NORMAL,WARRIOR,VICTORY,True,3,17,13,19,325,36,9.027777777777779,439,0,7,11,3.1818181818181817,0.02857142857142857
run_1769947851662,1769947851662,NORMAL,WARRIOR,VICTORY,True,3,14,11,20,341,35,9.742857142857142,465,0,3,11,3.1818181818181817,0.02857142857142857
run_1769947856213,1769947856213,NORMAL,WARRIOR,VICTORY,True,3,14,13,24,403,44,9.159090909090908,500,0,12,12,3.5833333333333335,0.0
run_1769947860648,1769947860648,NORMAL,WARRIOR,,False,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0
